Mennyi időt kapnak a profi Golf Tour játékosok ütésenként?;45 másodperc;25 sodperc;1 perc;2 perc
Ki birtokolja a második és harmadik helyet a legtöbb yardot tekintve egyetlen szezonban az NFL-ben?;OJ Simpson;Barry Sanders;Jim Brown;Dick Lane
Az első sárkányrepülők amelyekkel már repültek melyik évszázadban készültek el...?;1800s;1600s;1700s;1900s
Ki birkózott a The Rock főversenyén a "Wrestlemania" 1999-es kiadásában?;Stone Cold Steve Austin;Triple H;Mankind;Undertaker
Melyik atlétika sztár győzte le a gyermekkori gyermekbénulást hogy kora egyik legnagyobb sportolójává váljon?;Wilma Rudolph;Gail Devers;Florence Griffith Joyner;Jackie Robinson
Kit győzött le The Rock hogy megnyerje első WWE-címét?;Mankind;Triple H;Stone Cold Steve Austin;Bret Hart
Epsom (Anglia) az a hely, amelyhez a ____ kapcsolódik?;Lóverseny;Lovaspóló;Céllövészet;Sznúker
A Szövetségi Kupát, a Világkupát, az Allywyn International Trophyt és a Challenge Cupot a következő versenyek győztesei kapják..?;Röplabda;Tenisz;Kosárlabda;Krikett
Milyen számú mezt hord egy hátvéd a rögbi szövetségben?;15;18;21;13
Melyik bokszolóval küzdött Muhammad Ali a „The Rumble in the Jungle” című filmben?;George Foreman;Floyd Mayweather;Mike Tyson;Julio César Chávez
Hány Premier League-címet nyert a Manchester United Sir Alex Ferguson vezetésével?;13;15;10;1
Melyik évben volt "A Száz" kriketttorna első versenysorozata?;2021;2022;2016;2018
Melyik ír labdarúgót küldték haza a 2002-es labdarúgó-világbajnokság kezdete előtt, miután nyilvánosan veszekedett menedzserével?;Roy Keane;Shay Given;Kiely Dean;Nick Colgan
Melyik napon ünnepli a születésnapját az összes versenyló az északi féltekén?;január 1.; december 31.; május 16.; január 6.
Melyik sportban használná az alábbi kifejezéseket: Chukka, nyaklövés(neckshot) és milliomoslövés(millionaire’s shot)?;Póló;Lövés;Íjászat;Lovaglás
A Boat Race egy éves rendezvény. Mely két egyetem között zajlik?;Oxford & Cambridge;MIT & Chicago;Yale & Harvard;Boston & Chicago
