Melyik virág mérgező?;Lily of the valley;Frilly Edible Chrysanthemum;Bergamot;Chervil
Hol található a garnéla szíve?;A fejében;A farkában;A lábaiban;A hátán
A fenyő, az erdei fenyő, a lucfenyő, a cédrus, a vörösfenyő és a ciprus a híres faanyag-adó növények, amelyek közül néhány india dombos vidékein is széles körben előfordul. Ezek mind a következőkhöz tartoznak?;Nyitvatermők;Zárvatermők;Egyszikűek;Kétszikűek
A sejt koncentrációs gradiens elleni mozgását minek nevezzük?;ozmózisnak;aktív transzportnak;diffúziónak;passzív transzportnak
A növények felszívják az oldott nitrátokat a talajból és mivé alakítják át azokat?;szabad nitrogén;karbamid;ammónia;fehérjék
Melyik az alábbiak közül a legintelligensebb emlős?;delfinek;bálnák;elefántok;kenguruk
A növények vörös, kék és lila színeinek többsége a .... nevű pigmentnek köszönhető?;antocianin;karotin;klorofill;xantofillok
A növényekben van ____, míg az állatokból hiányzik.;cellulóz;keményítő;fehérje;zsír
A bőr pigmentációját mik okozzák?;melanociták;leukociták;monociták;limfociták
Melyik vitamin hiánya okozza az éjszakai vakságot?;A-vitamin;B-vitamin;C-vitamin;D-vitamin
Testünk legtöbb szövete melyik csoportba tartozik?;kötőszövet;izomszövet;epiteliális szövet;idegszövet
A napfénynek való kitettség javítja egészségi állapotát, mert…?;Az ultraibolya sugarak a bőrben lévő zsírt D-vitaminná alakítják;A bőr pigmentsejtjei stimulálódnak, és egészséges barnulást eredményeznek;Az ellenálló képesség megnő;Az infravörös fény elpusztítja a baktériumokat a szervezetben
Mi terjeszti a filáriát?;Szúnyogok;Baktériumok;Protozák;Vírusok
Az eugenika minek a tudománya?;Az emberi lények megváltoztatása genetikai összetevőik megváltoztatásával;Európai származású emberek;Különböző emberi fajok;Növények genetikája
Hány szarva volt egy triceratopsnak?;3;2;4;0
