Melyik nem egy tésztaféle?;Escargot;Spaghetti;Fettuccine;Ziti
A caffe macchiatonak ________ gyökerei vannak.;Olasz;Spanyol;Amerikai;Francia
Honnan származik a lasagna?;Görögország;Olaszország;Franciaország;Spanyolország
Hány éves a buboréktea?;40 éves;200 éves;100 éves;80 éves
A paradicsom gyümölcs vagy zöldség?;gyümölcs;zöldség;mindkettő;egyik sem
Mi a legnépszerűbb pizza feltét?;Pepperoni;Kolbász;Gomba;Extra sajt
Melyik a legnépszerűbb csokoládé?;tej;sötét;fehér;félédes
Milyen színű paprika támogatja legjobban a szem egészségét?;narancs;sárga;piros;zöld
Melyik étel származik eredetileg Olaszországból?;Pizza;Pozole;Sör;Hamburger
A tacók jellemzően a következő országból származnak..?;Mexikó;Argentína;Spanyolország;Venezuela
Mit jelent a gasztronómia?;A jó étel és a jó étkezés tanulmányozása és megbecsülése.;A csillagok tanulmányozása.;Az algebra tanulmányozása.;Az építészet tanulmányozása
Mi a séf szerepe a gasztronómiában?;mester;tanuló;író;gondnok
Melyik a legnépszerűbb ital a világon?;Tea;Kávé;Sör;Bor
Mi a legnépszerűbb gyümölcs a világon?;Banán;Alma;Narancs;Görögdinnye
A barbecue az Egyesült Államok gasztronómiai ikonja?;Igaz;Hamis;Ez egy megosztott ikon az Egyesült Államok és Mexikó között;Közösen használja ezt az ikont az Egyesült Államok és Kanada
