300 meters,302 meters,303 meters,297 meters
Franklin D. Roosevelt,John F. Kennedy,Richard Nixon,Herbert Hoover
Megalodon,Great White,Whale Shark,Tiger Shark
Mariana Trench,Philippine Trench,Tonga Trench,Kermadec Trench
300 kilometers,100 kilometers,150 kilometers,250 kilometers
1816,1820,1656,1790
Cheetah,Springbok,Lion,Quater Horse
J.K. Rowling,George Orwell,Charles Dickens,Ian Fleming
Wolfgang Amadeus Mozart,Ludwig van Beethoven,William Herschel,Joseph Haydn
Ferdinand von Zeppelin,Karl Maybach,Stefan Sommer,Henri Giffard
The Helpless Gooses,The Proud Frogs,The Lazy Elephants,The Hungarian Goulash
8848,8840,8830,8838
1435,1978,1523,1547
Danyang-Kunshan  Grand  Bridge,Cangde  Grand  Bridge,Bang  Na  Expressway,Runyang Bridge
(9*9 + 9) - 2 + 4,11,53,91

