Which of these famous figures was a physicist?;Enrico Fermi;Berenice Abbott;Gertrude Abercrombie;Carla Accardi
The absorption of ink by blotting paper involves?;capillary action phenomenon;viscosity of ink;diffusion of ink through the blotting;siphon action
Nuclear sizes are expressed in a unit named?;Fermi;Angstrom;Newton;Tesla
One nanometer is equal to?;10^-9 m;10^-6 m;10^-8 m;10^-5 m
Rain is falling vertically downwards. To a man running east-wards, the rain will appear to be coming from?;east;west;northeast;southeast
Large astronomical telescopes always use as objective?;combinations of lenses;lens;mirror;None of the above
Natural radioactivity was discovered by?;Henri Becquerel;Marie Curie;Ernest Rutherfor;Enrico Fermi
One watt-hour is equivalent to?;3.6 x 10^3 J;3.6 x 10^-3 J;	6.3 x 10^-7 J;6.3 x 10^3 J
Isotopes of an element contain?;the same number of protons but different number of neutrons;the same number of neutrons but different number of protons;equal number of protons and electrons;equal number of nucleons
Who formulated the simple mathematical law governing the electrical resistance of materials?;Georg Simon Ohm;Alessandro Volta;Maud Leonora Menten;André-Marie Ampére
Friction can be reduced by changing from..?;sliding to rolling;rolling to sliding;potential energy to kinetic energy;dynamic to static
Escape velocity of a rocket fired from the earth towards the moon is a velocity to get rid of the..?;Earth's gravitational pull;Moon's gravitational pull;Centripetal force due to the earth's rotation;Pressure of the atmosphere
For safety, the fuse wire used in the mains for household supply of electricity must be made of metal having..;low melting point;high resistance;high melting point;low specific heat
Free surface of a liquid behaves like a sheet and tends to contract to the smallest possible area due to the?;force of cohesion;centrifugal force;force of friction;force of adhesion
In what SI unit is the Planck constant expressed?;Joule seconds;Henry volt;Sievert watt;Candela per square meter
Sound waves in air are?;longitudinal;transverse;electromagnetic;polarised
