Melyik zenész született 1756-ban?;Wolfgang Amadeus Mozart;Ludwig van Beethoven;William Herschel;Joseph Haydn
Ki NEM volt a Beatles tagja?;Justin Timberlake;John Lennon;Paul McCartney;Ringo Star
Melyik hangszernek nincsenek húrjai?;Harsona;Gitár;Basszusgitár;Cselló
Melyik Queen szám szövege: „Is this the real life? Is this just fantasy?”;Bohemian Rhapsody;Another One Bites the Dust;Under Pressure;Radio Ga Ga
Melyik országból származik a Gangnam Style énekese, PSY?;Dél-Korea;Kanada;Németország;Észak-Korea
Melyik popsztár valódi neve Stefani Joanne Germanotta?;Lady Gaga;Pink;Florence and the Machnie énekese;Olivia Rodrigo
Az alábbi hangszerek közül melyikről ismert Lizzo?;Fuvola;Hárfa;Gitár;Okarina
Mi a neve Beethoven 14. zongoraszonátájának?;Holdfény-szonáta;Napfény-szonáta;Vénusz-szonáta;Sundance-szonáta
Milyen hangszeren játszik egy zenekar koncertmestere (vezetője)?;Hegedű;Tuba;Kürt;Cselló
Celine Dion "My Heart Will Go On" slágere melyik híres film betétdala?;Titanic;Az oroszlánkirály;Frozen;Good Will Hunting
Melyik amerikai együttes slágere volt a „Hotel California”?;Eagles;Paris;Bang;Sorcery
Melyik előadót ismerik Slim Shady néven is?;Enimem;Tech N9ne;Jay-Z;Lil Wayne
2017-ben Luis Fonsi és Daddy Yankee 47 országban vezették a listát, melyik dallal?;Despacito;Macarena;Oye Como va;Bailando
Melyik kubai-amerikai énekessel állt össze Shawn Mendes a „Señorita” című számban?;Camila Cabello;Shakira;Luis Fonsi;Paco de Lucia
Ki minden idők legkelendőbb női előadója?;Madonna;Katy Perry;Whitney Houston;Celine Dion
Nevezze meg a zenekart, amelynek Phil Collins tagja.;Genesis;Hobo Blues Band;Bon Jovi;U2
Kinek volt No.1 sikere az Ice Ice Baby-vel?;Vanilla Ice;Tupac Shakur;Steven Tyler;Jay-Z
